year,fdi_bn,equity_bn,bonds_bn,remittances_bn,oda_bn
1990,20.6,3.0,0.9,29.4,54.8
1991,29.2,5.7,6.0,32.3,60.2
1992,40.6,9.1,6.8,37.9,59.8
1993,59.5,30.8,27.4,39.8,56.2
1994,79.4,26.9,25.1,44.3,60.3
1995,87.7,14.0,19.2,49.7,59.9
1996,109.8,23.4,44.5,52.8,54.5
1997,143.8,26.0,37.5,62.5,49.2
1998,142.9,1.9,25.7,61.0,52.0
1999,151.2,9.8,32.3,66.4,54.8
2000,140.9,14.1,28.3,73.4,51.6
2001,155.8,6.4,15.3,80.6,52.9
2002,143.9,6.0,6.2,95.7,63.0
2003,147.5,25.5,16.3,119.4,72.5
2004,190.5,36.5,23.8,136.1,81.3
2005,271.4,65.6,37.1,162.6,106.5
2006,331.8,99.8,22.0,191.5,104.9
2007,462.4,114.0,66.4,229.3,106.3
2008,524.8,-45.1,12.5,267.1,123.9
2009,381.2,120.0,48.4,258.6,123.7
2010,575.6,136.8,97.7,286.0,127.6
2011,671.5,14.9,133.0,321.3,138.5
2012,623.7,101.8,189.3,346.6,132.8
2013,670.0,80.1,155.1,361.8,150.4
2014,615.2,96.5,187.1,390.4,161.0
2015,599.4,22.4,67.8,394.2,146.1
2016,518.0,46.2,112.5,384.1,158.0
2017,511.9,79.6,271.0,416.2,164.3
2018,591.0,41.0,187.6,451.2,166.8
2019,528.7,51.1,209.0,463.7,162.4
2020,522.2,70.1,225.4,465.9,192.7
2021,726.7,69.1,234.2,528.8,201.8
