region,year,debt_usd_bn
Latin America & Caribbean,1970,28.1
Latin America & Caribbean,1971,31.5
Latin America & Caribbean,1972,37.9
Latin America & Caribbean,1973,45.2
Latin America & Caribbean,1974,59.1
Latin America & Caribbean,1975,71.4
Latin America & Caribbean,1976,87.2
Latin America & Caribbean,1977,111.9
Latin America & Caribbean,1978,134.3
Latin America & Caribbean,1979,158.5
Latin America & Caribbean,1980,194.1
Latin America & Caribbean,1981,238.4
Latin America & Caribbean,1982,272.9
Latin America & Caribbean,1983,292.4
Latin America & Caribbean,1984,307.0
Latin America & Caribbean,1985,317.8
Latin America & Caribbean,1986,335.3
Latin America & Caribbean,1987,369.4
Latin America & Caribbean,1988,357.3
Latin America & Caribbean,1989,356.7
Latin America & Caribbean,1990,374.4
East Asia & Pacific,1970,7.0
East Asia & Pacific,1971,8.8
East Asia & Pacific,1972,10.5
East Asia & Pacific,1973,12.3
East Asia & Pacific,1974,15.1
East Asia & Pacific,1975,18.7
East Asia & Pacific,1976,23.7
East Asia & Pacific,1977,29.8
East Asia & Pacific,1978,36.7
East Asia & Pacific,1979,43.4
East Asia & Pacific,1980,54.4
East Asia & Pacific,1981,64.3
East Asia & Pacific,1982,75.1
East Asia & Pacific,1983,83.4
East Asia & Pacific,1984,89.2
East Asia & Pacific,1985,104.2
East Asia & Pacific,1986,120.9
East Asia & Pacific,1987,147.3
East Asia & Pacific,1988,157.1
East Asia & Pacific,1989,186.6
East Asia & Pacific,1990,217.8
Sub-Saharan Africa,1970,6.9
Sub-Saharan Africa,1971,8.7
Sub-Saharan Africa,1972,10.0
Sub-Saharan Africa,1973,13.1
Sub-Saharan Africa,1974,16.4
Sub-Saharan Africa,1975,19.6
Sub-Saharan Africa,1976,22.5
Sub-Saharan Africa,1977,31.5
Sub-Saharan Africa,1978,41.0
Sub-Saharan Africa,1979,48.5
Sub-Saharan Africa,1980,60.5
Sub-Saharan Africa,1981,69.2
Sub-Saharan Africa,1982,76.5
Sub-Saharan Africa,1983,86.4
Sub-Saharan Africa,1984,90.6
Sub-Saharan Africa,1985,106.7
Sub-Saharan Africa,1986,120.5
Sub-Saharan Africa,1987,147.4
Sub-Saharan Africa,1988,150.0
Sub-Saharan Africa,1989,156.5
Sub-Saharan Africa,1990,176.3
Middle East & North Africa,1970,8.3
Middle East & North Africa,1971,9.6
Middle East & North Africa,1972,10.4
Middle East & North Africa,1973,12.8
Middle East & North Africa,1974,14.6
Middle East & North Africa,1975,20.7
Middle East & North Africa,1976,26.2
Middle East & North Africa,1977,41.3
Middle East & North Africa,1978,51.2
Middle East & North Africa,1979,59.3
Middle East & North Africa,1980,74.1
Middle East & North Africa,1981,79.0
Middle East & North Africa,1982,93.3
Middle East & North Africa,1983,98.4
Middle East & North Africa,1984,99.4
Middle East & North Africa,1985,114.0
Middle East & North Africa,1986,129.8
Middle East & North Africa,1987,147.2
Middle East & North Africa,1988,152.1
Middle East & North Africa,1989,158.6
Middle East & North Africa,1990,157.5
South Asia,1970,8.9
South Asia,1971,9.9
South Asia,1972,10.7
South Asia,1973,12.1
South Asia,1974,14.8
South Asia,1975,16.4
South Asia,1976,17.6
South Asia,1977,19.0
South Asia,1978,20.8
South Asia,1979,22.9
South Asia,1980,26.6
South Asia,1981,29.2
South Asia,1982,34.9
South Asia,1983,39.4
South Asia,1984,41.9
South Asia,1985,49.7
South Asia,1986,57.7
South Asia,1987,69.0
South Asia,1988,76.1
South Asia,1989,91.1
South Asia,1990,103.4
Europe & Central Asia,1970,5.1
Europe & Central Asia,1971,6.4
Europe & Central Asia,1972,7.5
Europe & Central Asia,1973,9.0
Europe & Central Asia,1974,10.3
Europe & Central Asia,1975,11.7
Europe & Central Asia,1976,14.3
Europe & Central Asia,1977,21.6
Europe & Central Asia,1978,27.4
Europe & Central Asia,1979,31.9
Europe & Central Asia,1980,37.6
Europe & Central Asia,1981,39.9
Europe & Central Asia,1982,39.6
Europe & Central Asia,1983,40.8
Europe & Central Asia,1984,41.3
Europe & Central Asia,1985,48.3
Europe & Central Asia,1986,54.4
Europe & Central Asia,1987,63.4
Europe & Central Asia,1988,62.2
Europe & Central Asia,1989,60.7
Europe & Central Asia,1990,67.6
