country,year,reserves_usd_bn
China,1990,29
China,1995,74
China,1997,140
China,2000,166
China,2005,819
China,2010,2847
China,2014,3843
China,2020,3217
China,2024,3202
South Korea,1990,15
South Korea,1995,33
South Korea,1997,20
South Korea,2000,96
South Korea,2005,210
South Korea,2010,292
South Korea,2014,364
South Korea,2020,443
South Korea,2024,416
India,1990,6
India,1995,22
India,1997,28
India,2000,40
India,2005,137
India,2010,295
India,2014,320
India,2020,585
India,2024,640
Thailand,1990,13
Thailand,1995,36
Thailand,1997,27
Thailand,2000,32
Thailand,2005,52
Thailand,2010,172
Thailand,2014,157
Thailand,2020,258
Thailand,2024,235
