country,year,bca_usd_bn
United States,1995,-115
United States,1996,-125
United States,1997,-140
United States,1998,-215
United States,1999,-285
United States,2000,-400
United States,2001,-395
United States,2002,-455
United States,2003,-520
United States,2004,-630
United States,2005,-745
United States,2006,-805
United States,2007,-710
United States,2008,-680
United States,2009,-370
United States,2010,-430
United States,2011,-445
United States,2012,-425
United States,2013,-350
United States,2014,-365
United States,2015,-410
United States,2016,-430
United States,2017,-440
United States,2018,-450
United States,2019,-440
United States,2020,-600
United States,2021,-870
United States,2022,-970
United States,2023,-905
United States,2024,-1130
China,1997,37.0
China,1998,31.5
China,1999,21.1
China,2000,20.4
China,2001,17.4
China,2002,35.4
China,2003,43.1
China,2004,68.9
China,2005,132.4
China,2006,231.8
China,2007,353.2
China,2008,420.6
China,2009,243.3
China,2010,237.8
China,2011,136.1
China,2012,215.4
China,2013,148.2
China,2014,236.0
China,2015,293.0
China,2016,191.3
China,2017,188.7
China,2018,24.1
China,2019,102.9
China,2020,248.8
China,2021,352.9
China,2022,443.4
China,2023,263.4
China,2024,423.9
Germany,1995,-27.7
Germany,1996,-12.1
Germany,1997,-7.6
Germany,1998,-11.2
Germany,1999,-25.6
Germany,2000,-30.0
Germany,2001,-3.4
Germany,2002,41.1
Germany,2003,38.0
Germany,2004,128.7
Germany,2005,134.6
Germany,2006,177.0
Germany,2007,232.5
Germany,2008,213.3
Germany,2009,201.7
Germany,2010,199.3
Germany,2011,240.5
Germany,2012,258.8
Germany,2013,255.5
Germany,2014,286.9
Germany,2015,277.5
Germany,2016,315.0
Germany,2017,303.5
Germany,2018,341.7
Germany,2019,311.8
Germany,2020,248.8
Germany,2021,301.1
Germany,2022,160.2
Germany,2023,251.8
Germany,2024,272.1
