country,year,gdp_growth
Argentina,1990,-1.338
Argentina,1991,10.498
Argentina,1992,10.299
Argentina,1993,6.251
Argentina,1994,5.83
Argentina,1995,-2.845
Argentina,1996,5.527
Argentina,1997,8.111
Argentina,1998,3.85
Argentina,1999,-3.385
Argentina,2000,-0.789
Argentina,2001,-4.409
Argentina,2002,-10.894
Argentina,2003,8.955
Argentina,2004,8.911
Argentina,2005,8.852
Argentina,2006,8.047
Argentina,2007,9.008
Argentina,2008,4.057
Argentina,2009,-5.919
Argentina,2010,10.125
Argentina,2011,6.004
Argentina,2012,-1.026
Argentina,2013,2.405
Argentina,2014,-2.513
Argentina,2015,2.731
Argentina,2016,-2.08
Argentina,2017,2.819
Argentina,2018,-2.617
Argentina,2019,-2.001
Brazil,1990,-4.168
Brazil,1991,1.031
Brazil,1992,-0.467
Brazil,1993,4.665
Brazil,1994,5.334
Brazil,1995,4.417
Brazil,1996,2.209
Brazil,1997,3.395
Brazil,1998,0.338
Brazil,1999,0.468
Brazil,2000,4.388
Brazil,2001,1.39
Brazil,2002,3.053
Brazil,2003,1.141
Brazil,2004,5.76
Brazil,2005,3.202
Brazil,2006,3.962
Brazil,2007,6.07
Brazil,2008,5.094
Brazil,2009,-0.126
Brazil,2010,7.528
Brazil,2011,3.974
Brazil,2012,1.921
Brazil,2013,3.005
Brazil,2014,0.504
Brazil,2015,-3.546
Brazil,2016,-3.276
Brazil,2017,1.323
Brazil,2018,1.784
Brazil,2019,1.221
Chile,1990,3.671
Chile,1991,7.804
Chile,1992,11.167
Chile,1993,6.589
Chile,1994,5.03
Chile,1995,8.933
Chile,1996,4.985
Chile,1997,7.392
Chile,1998,4.181
Chile,1999,-0.274
Chile,2000,4.972
Chile,2001,3.154
Chile,2002,3.203
Chile,2003,4.723
Chile,2004,6.674
Chile,2005,5.837
Chile,2006,6.05
Chile,2007,5.168
Chile,2008,3.789
Chile,2009,-1.118
Chile,2010,5.852
Chile,2011,6.224
Chile,2012,6.155
Chile,2013,3.309
Chile,2014,1.793
Chile,2015,2.152
Chile,2016,1.753
Chile,2017,1.358
Chile,2018,3.99
Chile,2019,0.634
China,1990,3.888
China,1991,10.203
China,1992,14.277
China,1993,13.936
China,1994,13.102
China,1995,11.016
China,1996,9.968
China,1997,9.319
China,1998,7.934
China,1999,7.757
China,2000,8.572
China,2001,8.319
China,2002,9.214
China,2003,10.121
China,2004,10.115
China,2005,11.437
China,2006,12.665
China,2007,14.154
China,2008,9.638
China,2009,9.445
China,2010,10.587
China,2011,9.451
China,2012,7.848
China,2013,7.771
China,2014,7.491
China,2015,7.018
China,2016,6.776
China,2017,6.891
China,2018,6.759
China,2019,6.065
Colombia,1990,4.282
Colombia,1991,2.372
Colombia,1992,4.353
Colombia,1993,5.71
Colombia,1994,5.147
Colombia,1995,5.202
Colombia,1996,2.056
Colombia,1997,3.43
Colombia,1998,0.57
Colombia,1999,-4.204
Colombia,2000,2.925
Colombia,2001,1.678
Colombia,2002,2.504
Colombia,2003,3.918
Colombia,2004,5.333
Colombia,2005,4.447
Colombia,2006,6.717
Colombia,2007,6.738
Colombia,2008,3.283
Colombia,2009,1.14
Colombia,2010,4.495
Colombia,2011,6.948
Colombia,2012,3.913
Colombia,2013,5.134
Colombia,2014,4.499
Colombia,2015,2.956
Colombia,2016,2.087
Colombia,2017,1.359
Colombia,2018,2.564
Colombia,2019,3.187
Egypt,1990,2.35
Egypt,1991,2.1
Egypt,1992,0.3
Egypt,1993,2.9
Egypt,1994,4.188
Egypt,1995,4.484
Egypt,1996,4.879
Egypt,1997,5.919
Egypt,1998,7.543
Egypt,1999,6.11
Egypt,2000,5.383
Egypt,2001,3.524
Egypt,2002,3.186
Egypt,2003,3.193
Egypt,2004,4.092
Egypt,2005,4.472
Egypt,2006,6.844
Egypt,2007,7.088
Egypt,2008,7.156
Egypt,2009,4.674
Egypt,2010,5.147
Egypt,2011,1.765
Egypt,2012,2.226
Egypt,2013,3.302
Egypt,2014,2.93
Egypt,2015,4.36
