year,credit_usd_bn
1970,0.7
1971,0.8
1972,1.0
1973,1.1
1974,2.1
1975,3.4
1976,5.4
1977,5.6
1978,6.6
1979,8.3
1980,11.0
1981,16.0
1982,21.0
1983,28.9
1984,30.2
1985,34.2
1986,36.1
1987,38.2
1988,32.2
1989,28.5
1990,29.0
1991,28.5
1992,27.5
1993,28.0
1994,30.2
1995,45.5
1996,42.7
1997,41.9
1998,53.5
1999,66.3
2000,55.8
2001,77.1
2002,98.0
2003,110.8
2004,102.5
2005,59.1
2006,33.3
2007,29.7
2008,38.7
2009,119.2
2010,124.5
2011,123.9
2012,117.5
2013,105.9
2014,97.6
2015,100.5
2016,103.8
2017,114.5
2018,142.0
2019,162.1
2020,214.6
2021,386.1
2022,380.2
2023,380.5
2024,371.2
