country,year,gds_pct_gdp
Argentina,2019,17.4
Argentina,2018,14.7
Argentina,2017,15.6
Argentina,2016,16.6
Argentina,2015,16.0
Argentina,2014,17.7
Argentina,2013,17.2
Argentina,2012,18.5
Argentina,2011,20.1
Argentina,2010,20.6
Argentina,2009,21.1
Argentina,2008,23.3
Argentina,2007,24.5
Argentina,2006,24.3
Argentina,2005,24.8
Argentina,2004,24.6
Argentina,2003,25.4
Argentina,2002,25.9
Argentina,2001,16.9
Argentina,2000,16.9
Argentina,1999,16.1
Argentina,1998,18.5
Argentina,1997,18.6
Argentina,1996,19.0
Argentina,1995,18.1
Argentina,1994,16.9
Argentina,1993,17.3
Argentina,1992,15.2
Argentina,1991,16.2
Argentina,1990,19.7
Brazil,2019,14.9
Brazil,2018,15.5
Brazil,2017,15.3
Brazil,2016,15.4
Brazil,2015,16.3
Brazil,2014,17.9
Brazil,2013,19.4
Brazil,2012,20.1
Brazil,2011,21.1
Brazil,2010,20.8
Brazil,2009,18.4
Brazil,2008,21.4
Brazil,2007,21.2
Brazil,2006,20.5
Brazil,2005,20.6
Brazil,2004,21.3
Brazil,2003,19.1
Brazil,2002,18.3
Brazil,2001,16.5
Brazil,2000,16.6
Brazil,1999,15.5
Brazil,1998,15.8
Brazil,1997,15.2
Brazil,1996,15.1
Brazil,1995,15.4
Brazil,1994,22.5
Brazil,1993,22.3
Brazil,1992,21.4
Brazil,1991,20.5
Brazil,1990,21.4
Chile,2019,23.1
Chile,2018,23.1
Chile,2017,23.3
Chile,2016,23.5
Chile,2015,24.6
Chile,2014,25.5
Chile,2013,26.5
Chile,2012,28.3
Chile,2011,29.5
Chile,2010,30.9
Chile,2009,30.5
Chile,2008,30.5
Chile,2007,35.6
Chile,2006,36.2
Chile,2005,31.6
Chile,2004,30.7
Chile,2003,27.8
Chile,2002,26.1
Chile,2001,25.6
Chile,2000,25.3
Chile,1999,24.5
Chile,1998,25.1
Chile,1997,27.5
Chile,1996,27.9
Chile,1995,28.0
Chile,1994,26.0
Chile,1993,25.0
Chile,1992,26.1
Chile,1991,27.8
Chile,1990,29.0
China,2019,43.5
China,2018,44.2
China,2017,44.5
China,2016,44.4
China,2015,45.7
China,2014,47.1
China,2013,47.9
China,2012,48.4
China,2011,49.2
China,2010,50.6
China,2009,49.4
China,2008,49.7
China,2007,48.5
China,2006,47.0
China,2005,45.2
China,2004,44.5
China,2003,41.7
China,2002,38.8
China,2001,37.9
China,2000,36.3
China,1999,37.3
China,1998,39.4
China,1997,40.2
China,1996,39.8
China,1995,40.8
China,1994,41.7
China,1993,41.5
China,1992,40.2
China,1991,38.0
China,1990,36.3
Colombia,2019,15.6
Colombia,2018,16.5
Colombia,2017,16.6
Colombia,2016,16.4
Colombia,2015,16.7
Colombia,2014,19.8
Colombia,2013,20.4
Colombia,2012,20.9
Colombia,2011,22.1
Colombia,2010,20.3
Colombia,2009,19.7
Colombia,2008,20.8
Colombia,2007,19.2
Colombia,2006,18.8
Colombia,2005,18.2
Colombia,2004,17.1
Colombia,2003,15.3
Colombia,2002,13.9
Colombia,2001,12.9
Colombia,2000,14.1
Colombia,1999,13.4
Colombia,1998,13.8
Colombia,1997,15.0
Colombia,1996,16.5
Colombia,1995,19.4
Colombia,1994,19.6
Colombia,1993,19.1
Colombia,1992,20.0
Colombia,1991,23.8
Colombia,1990,23.6
Egypt,2019,12.8
Egypt,2018,10.7
Egypt,2017,5.9
Egypt,2016,5.5
Egypt,2015,5.8
Egypt,2014,5.2
Egypt,2013,7.9
Egypt,2012,8.1
Egypt,2011,13.0
Egypt,2010,14.3
Egypt,2009,12.6
Egypt,2008,16.8
Egypt,2007,16.3
Egypt,2006,17.1
Egypt,2005,15.7
Egypt,2004,15.6
Egypt,2003,14.3
Egypt,2002,13.6
Egypt,2001,13.4
Egypt,2000,12.9
Egypt,1999,13.4
Egypt,1998,12.0
Egypt,1997,11.5
Egypt,1996,12.7
Egypt,1995,15.0
Egypt,1994,15.1
Egypt,1993,15.6
Egypt,1992,17.0
Egypt,1991,15.8
Egypt,1990,16.7
Ghana,2019,16.7
Ghana,2018,20.7
Ghana,2017,16.8
Ghana,2016,20.0
Ghana,2015,18.9
Ghana,2014,19.8
Ghana,2013,14.9
Ghana,2012,4.5
Ghana,2011,0.4
Ghana,2010,-0.7
Ghana,2009,3.4
Ghana,2008,-3.0
Ghana,2007,-0.9
Ghana,2006,9.4
Ghana,2005,3.7
Ghana,2004,7.3
Ghana,2003,7.0
Ghana,2002,7.4
Ghana,2001,7.0
Ghana,2000,5.6
Ghana,1999,3.5
Ghana,1998,10.3
Ghana,1997,4.2
Ghana,1996,13.2
Ghana,1995,11.6
Ghana,1994,12.5
Ghana,1993,6.0
Ghana,1992,1.3
Ghana,1991,7.3
Ghana,1990,5.5
India,2019,28.1
India,2018,29.9
India,2017,30.5
India,2016,30.4
India,2015,30.6
India,2014,31.4
India,2013,32.1
India,2012,32.9
India,2011,32.7
India,2010,34.3
India,2009,32.6
India,2008,32.8
India,2007,34.4
India,2006,34.1
India,2005,32.3
India,2004,31.2
India,2003,27.6
India,2002,25.7
India,2001,24.1
India,2000,24.3
India,1999,23.8
India,1998,24.3
India,1997,25.1
India,1996,25.1
India,1995,25.8
India,1994,24.7
India,1993,23.5
India,1992,23.3
India,1991,21.9
India,1990,21.6
Indonesia,2019,33.3
Indonesia,2018,34.0
Indonesia,2017,33.6
Indonesia,2016,32.6
Indonesia,2015,32.8
Indonesia,2014,33.4
Indonesia,2013,33.7
Indonesia,2012,34.4
Indonesia,2011,35.5
Indonesia,2010,34.8
Indonesia,2009,31.7
Indonesia,2008,31.0
Indonesia,2007,28.1
Indonesia,2006,28.7
Indonesia,2005,27.5
