state,jobs_lost,share_pct
NH,26100,3.66
OR,68700,3.64
CA,654100,3.64
NC,147700,3.23
MN,92400,3.18
MA,109300,3.10
WI,88900,3.02
VT,9600,2.93
IN,85800,2.92
ID,21100,2.82
GA,123200,2.67
SC,57900,2.65
TX,334800,2.64
IL,162400,2.63
RI,13400,2.55
OH,136700,2.49
MI,112400,2.48
AL,50700,2.47
TN,73800,2.46
CO,67700,2.45
MS,29700,2.43
KY,46900,2.42
UT,33900,2.40
PA,137300,2.25
AZ,65800,2.23
NJ,95000,2.16
IA,33900,2.12
CT,38100,2.11
WA,67400,1.97
MO,56200,1.96
NY,185100,1.96
AR,24400,1.91
ME,12200,1.85
OK,31500,1.80
SD,7800,1.78
VA,70500,1.73
KS,24200,1.70
FL,150700,1.67
NE,16200,1.64
MD,44800,1.47
DE,6200,1.40
WV,10000,1.34
NV,17900,1.33
NM,11500,1.31
ND,5100,1.27
LA,24900,1.23
MT,5500,1.10
HI,6600,0.98
DC,3300,0.92
WY,2500,0.85
AK,3000,0.85
