year,index
1900,132.19
1901,131.59
1902,134.58
1903,140.96
1904,148.55
1905,156.02
1906,147.94
1907,148.2
1908,143.53
1909,151.45
1910,159.01
1911,153.94
1912,154.99
1913,140.08
1914,145.84
1915,171.92
1916,181.41
1917,187.83
1918,165.02
1919,145.4
1920,145.47
1921,87.72
1922,100.86
1923,121.56
1924,122.09
1925,132.96
1926,122.81
1927,126.66
1928,123.04
1929,121.81
1930,97.6
1931,88.63
1932,84.79
1933,88.47
1934,93.53
1935,104.95
1936,111.77
1937,126.74
1938,94.03
1939,99.47
1940,97.92
1941,107.29
1942,106.21
1943,99.75
1944,91.08
1945,90.75
1946,108.3
1947,115.96
1948,108.83
1949,107.54
1950,129.42
1951,133.76
1952,110.36
1953,107.64
1954,111.92
1955,109.77
1956,109.81
1957,109.27
1958,99.73
1959,102.16
1960,100.67
1961,97.36
1962,97.42
1963,110.59
1964,107.44
1965,97.86
1966,95.55
1967,92.81
1968,95.18
1969,98.3
1970,98.84
1971,93.39
1972,95.76
1973,118.15
1974,143.91
1975,107.76
1976,105.67
1977,107.64
1978,94.69
1979,98.81
1980,110.65
1981,99.03
1982,83.63
1983,93.02
1984,95.33
1985,83.28
1986,67.81
1987,66.63
1988,76.04
1989,77.62
1990,68.36
1991,62.63
1992,59.3
1993,58.23
1994,67.5
1995,74.93
1996,73.46
1997,71.68
1998,63.44
1999,56.4
2000,57.27
2001,56.42
2002,59.35
2003,59.26
2004,63.25
2005,68.11
2006,84.69
2007,93.28
2008,96.03
2009,85.48
2010,104.45
2011,119.95
2012,103.25
2013,95.89
2014,96.22
2015,89.96
2016,92.5
