year,gdppc
1960,4146
1961,4219
1962,4276
1963,4475
1964,4846
1965,5021
1966,5154
1967,5278
1968,5589
1969,5596
1970,5775
1971,5809
1972,6099
1973,6385
1974,6559
1975,6741
1976,6845
1977,6889
1978,7310
1979,7815
1980,8290
1981,8875
1982,8677
1983,8099
1984,8208
1985,8194
1986,7714
1987,7716
1988,7658
1989,7784
1990,8037
1991,8197
1992,8330
1993,8412
1994,8623
1995,7971
1996,8321
1997,8771
1998,9162
1999,9265
2000,9582
2001,9398
2002,9242
2003,9222
2004,9421
2005,9492
2006,9814
2007,9878
2008,9826
2009,9074
2010,9389
2011,9576
2012,9783
2013,9739
2014,9862
2015,10021
2016,10101
2017,10194
2018,10297
2019,10159
2020,9235
2021,9728
2022,10013
2023,10259
