state,jobs_2000,jobs_2024
AK,284.1,334.3
AL,1947.2,2189.8
AR,1149.9,1328.9
AZ,2243.1,3260.7
CA,14587.5,17980.0
CO,2213.6,2969.6
CT,1700.9,1710.4
DC,650.4,768.9
DE,420.1,491.4
FL,7054.9,9934.0
GA,3979.2,4969.3
HI,551.9,638.5
IA,1481.1,1598.8
ID,560.1,864.5
IL,6042.8,6145.0
IN,3005.8,3260.7
KS,1346.8,1457.9
KY,1816.7,2036.6
LA,1920.4,1985.8
MA,3338.3,3726.8
MD,2471.9,2839.7
ME,603.8,660.0
MI,4678.4,4487.0
MN,2683.0,3015.7
MO,2753.9,2987.9
MS,1155.5,1187.8
MT,391.3,525.6
NC,3909.3,5018.5
ND,328.1,446.6
NE,913.2,1058.5
NH,620.5,703.8
NJ,4005.9,4356.4
NM,744.8,889.1
NV,1027.0,1567.3
NY,8617.9,9881.6
OH,5625.6,5657.8
OK,1502.5,1780.9
OR,1619.8,1991.3
PA,5693.9,6139.6
RI,480.1,512.8
SC,1855.3,2356.1
SD,377.6,467.9
TN,2739.1,3367.4
TX,9461.6,14150.9
UT,1075.5,1744.4
VA,3519.3,4247.9
VT,298.9,312.2
WA,2746.2,3617.2
WI,2832.5,3040.2
WV,701.7,718.9
WY,239.4,294.4
